id,letter,title,link
agate,A,Agate,shopify://collections/par-pierre-agate
agate_rose,A,Agate rose,
aigue_marine,A,Aigue-marine,shopify://collections/par-pierre-aigue-marine
amazonite,A,Amazonite,shopify://collections/par-pierre-amazonite
amethyste,A,Améthyste,shopify://collections/par-pierre-amethyste
aventurine,A,Aventurine,shopify://collections/par-pierre-aventurine
azurite,A,Azurite,
bronzite,B,Bronzite,
calcedoine,C,Calcédoine,
celestine,C,Célestine,
citrine,C,Citrine,
chrysocolle,C,Chrysocolle,
chrysoprase,C,Chrysoprase,
cornaline,C,Cornaline,
cristal_roche,C,Cristal de roche,
dumortierite,D,Dumortiérite,
emeraude,E,Émeraude,
fluorine,F,Fluorine,
hematite,H,Hématite,
howlite,H,Howlite,
jade,J,Jade,
jaspe,J,Jaspe rouge,shopify://collections/par-pierre-jaspe-rouge
labradorite,L,Labradorite,
lapis,L,Lapis-lazuli,shopify://collections/par-pierre-lapis-lazuli
larimar,L,Larimar,
larvikite,L,Larvikite,
malachite,M,Malachite,
obsidienne,O,Obsidienne,
oeil_tigre,O,Œil de tigre,shopify://collections/par-pierre-oeil-de-tigre
onyx,O,Onyx,
opale,O,Opale dendrite,
orthoceras,O,Orthocéras,
peridot,P,Péridot,
pierre_lune,P,Pierre de lune,
pierre_soleil,P,Pierre de soleil,
pyrite,P,Pyrite,
quartz_rose,Q,Quartz rose,shopify://collections/par-pierre-quartz-rose
rhodochrosite,R,Rhodochrosite,
rhodonite,R,Rhodonite,
selenite,S,Sélénite,
seraphinite,S,Séraphinite,
shungite,S,Shungite,
sodalite,S,Sodalite,shopify://collections/par-pierre-sodalite
spinelle,S,Spinelle noire,
topaze,T,Topaze,
tourmaline,T,Tourmaline,
turquoise,T,Turquoise,
unakite,U,Unakite,
yooperlite,Y,Yooperlite,
