page,supplier_title,supplier_note,source_url,filename,archive_status,archive_relative_path,bytes,sha256,content_type
1,Agate Dendrite 08mm,,https://camille-ambiance-nature.fr/uploads/certificats/Agate-Dendrite-60b78ad4caaf5.jpg,Agate-Dendrite-60b78ad4caaf5.jpg,downloaded,documents/Agate-Dendrite-60b78ad4caaf5.jpg,40043,4180657ba7ec49e1cbafa9160d5435e7b46bcc5fde75aa418da2b2cd10f77f15,image/jpeg
1,Agate fleur de cerisier 06mm,,https://camille-ambiance-nature.fr/uploads/certificats/agate-fleur-de-cerisier-06mm-69d4f6d243d78.png,agate-fleur-de-cerisier-06mm-69d4f6d243d78.png,downloaded,documents/agate-fleur-de-cerisier-06mm-69d4f6d243d78.png,87235,e4206352c2c2177c62f7df27d9b6cdacf31129181afc8534713da329a412e4a5,image/png
1,Agate Fleur de Cerisier 08mm,,https://camille-ambiance-nature.fr/uploads/certificats/Agate-Fleur-de-Cerisier-A-08mm-66742a4709a59.jpg,Agate-Fleur-de-Cerisier-A-08mm-66742a4709a59.jpg,downloaded,documents/Agate-Fleur-de-Cerisier-A-08mm-66742a4709a59.jpg,35416,72b285e1ab260d830f7bc070a40f92eb970b85223c67dc93abc54015ce6cd2c6,image/jpeg
1,Agate Indienne 06mm,,https://camille-ambiance-nature.fr/uploads/certificats/agate-indienne-06mm-69d4f71b4f780.png,agate-indienne-06mm-69d4f71b4f780.png,downloaded,documents/agate-indienne-06mm-69d4f71b4f780.png,88406,d9d31f3ea448dec5bc5ee556cd357032b59a1cc9038c68219c1d7660d683abcc,image/png
1,Agate Indienne 08mm,,https://camille-ambiance-nature.fr/uploads/certificats/Agate-Indienne-AB-08mm-66742a6c92770.jpg,Agate-Indienne-AB-08mm-66742a6c92770.jpg,downloaded,documents/Agate-Indienne-AB-08mm-66742a6c92770.jpg,34700,1c5d0cc3b54b6d767b19c4ad0f6e8659dec9fff7d14332200a83306d401fc57e,image/jpeg
1,Agate Mousse 06mm,,https://camille-ambiance-nature.fr/uploads/certificats/Agate-Mousse-06mm-60b78c6205e1f.jpg,Agate-Mousse-06mm-60b78c6205e1f.jpg,downloaded,documents/Agate-Mousse-06mm-60b78c6205e1f.jpg,40009,518f51a5b145ce429db42bb42e17805a7482de0c60697b93387f5b911fa348a1,image/jpeg
1,Agate Mousse 08mm,,https://camille-ambiance-nature.fr/uploads/certificats/Agate-Mousse-AB-08mm-66754971a927a.jpg,Agate-Mousse-AB-08mm-66754971a927a.jpg,downloaded,documents/Agate-Mousse-AB-08mm-66754971a927a.jpg,36070,0fa1a27e2be18687284205e5431677c1a9c9418f52a1e2cd47cf75e52c1f5e5e,image/jpeg
1,Agate Mousse Jaune 08mm,,https://camille-ambiance-nature.fr/uploads/certificats/Agate-Mousse-Jaune-A-08mm-653232108090a.jpg,Agate-Mousse-Jaune-A-08mm-653232108090a.jpg,downloaded,documents/Agate-Mousse-Jaune-A-08mm-653232108090a.jpg,29574,cf05875b89043a3e5651145ba3e0ddb40e5ae1be24fb1cf78abf3b38795dc53e,image/jpeg
1,Agate Oeil 08mm,,https://camille-ambiance-nature.fr/uploads/certificats/agate-oeil-AAA-08mm-67c030e079aa0.png,agate-oeil-AAA-08mm-67c030e079aa0.png,downloaded,documents/agate-oeil-AAA-08mm-67c030e079aa0.png,104067,1d3ecead5b1d3fbcdbc50b07ecdd3408e1404908cdd8dd36a8add8bea166cc13,image/png
1,Agate Plume 08mm,,https://camille-ambiance-nature.fr/uploads/certificats/Agate-Plume-60b78cae275ba.jpg,Agate-Plume-60b78cae275ba.jpg,downloaded,documents/Agate-Plume-60b78cae275ba.jpg,37827,92fbcb1d2b474cc8c08ac6a55b5c2e452aaf3558117852110cb904cb3f281e23,image/jpeg
1,Aigue Marine 04mm,L’imprégnation de polymères permet de renforcer une pierre poreuse à l’état naturel. Ceci n’altère en rien la qualité du produit.,https://camille-ambiance-nature.fr/uploads/certificats/Aigue-Marine-Bresil-A-03-5-04-5mm-65323254ead8c.jpg,Aigue-Marine-Bresil-A-03-5-04-5mm-65323254ead8c.jpg,downloaded,documents/Aigue-Marine-Bresil-A-03-5-04-5mm-65323254ead8c.jpg,30263,9d18a16e7bbc7878e7a80b4b0c1a6890733e1f62d70f6bad6f00b5ff7f46d24e,image/jpeg
1,Aigue marine Brésil (Bahia) 06mm,L’imprégnation de polymères permet de renforcer une pierre poreuse à l’état naturel. Ceci n’altère en rien la qualité du produit.,https://camille-ambiance-nature.fr/uploads/certificats/Aigue-marine-Bresil-Bahia-AAA-06-07mm-673b44d47596e.jpg,Aigue-marine-Bresil-Bahia-AAA-06-07mm-673b44d47596e.jpg,downloaded,documents/Aigue-marine-Bresil-Bahia-AAA-06-07mm-673b44d47596e.jpg,106560,1a59bba4e8d968a3a3a4483a845a045692daba8c3a90bfc3c5dd90c2c083cf89,image/jpeg
1,Aigue Marine Brésil 06mm,La pierre a été polie soit à l’huile ou avec de la résine afin de résorber les possibles micros-fissures de surface. C’est la raison pour laquelle il y a des résidus trouvés sur la pierre. Ceci n’altère en rien la naturalité ainsi que la qualité du produit. C’est une technique utilisée en bijouterie pour ce type de pierre.,https://camille-ambiance-nature.fr/uploads/certificats/Aigue-Marine-06mm-612cacc029bf4.jpg,Aigue-Marine-06mm-612cacc029bf4.jpg,downloaded,documents/Aigue-Marine-06mm-612cacc029bf4.jpg,41146,1341a4db29c5b13d39c4753ba59558ea6b11903c4a50f75e02721c1766b10fc0,image/jpeg
1,Aigue Marine Brésil 08mm,La pierre a été polie soit à l’huile ou avec de la résine afin de résorber les possibles micros-fissures de surface. C’est la raison pour laquelle il y a des résidus trouvés sur la pierre. Ceci n’altère en rien la naturalité ainsi que la qualité du produit. C’est une technique utilisée en bijouterie pour ce type de pierre.,https://camille-ambiance-nature.fr/uploads/certificats/Aigue-Marine-08mm-612cacdb03289.jpg,Aigue-Marine-08mm-612cacdb03289.jpg,downloaded,documents/Aigue-Marine-08mm-612cacdb03289.jpg,43029,d36cc26d8d39d8ff67b750eeca0024c39a4e2c7084f8da8d5e3e483a0a480f4b,image/jpeg
1,Aigue Marine Brésil 10mm,L’imprégnation de polymères permet de renforcer une pierre poreuse à l’état naturel. Ceci n’altère en rien la qualité du produit.,https://camille-ambiance-nature.fr/uploads/certificats/aigue-marine-10mm-690c80721a224.png,aigue-marine-10mm-690c80721a224.png,downloaded,documents/aigue-marine-10mm-690c80721a224.png,85095,7b4a588124e6733ee16f2c00bc942f8cd9145ed255f368c7556ef45f284bf76c,image/png
1,Aigue Marine Namibie 06mm,L’imprégnation de polymères permet de renforcer une pierre poreuse à l’état naturel. Ceci n’altère en rien la qualité du produit.,https://camille-ambiance-nature.fr/uploads/certificats/Aigue-Marine-Namibie-A-5-5-6-5mm-6675704a3a48a.jpg,Aigue-Marine-Namibie-A-5-5-6-5mm-6675704a3a48a.jpg,downloaded,documents/Aigue-Marine-Namibie-A-5-5-6-5mm-6675704a3a48a.jpg,35077,7ceb89a57cf35ed8f3ebde63ccc321bac4885e1030592cab8cf823335c12b2b2,image/jpeg
1,Aigue Marine Perles Roulées,La pierre a été polie soit à l’huile ou avec de la résine afin de résorber les possibles micros-fissures de surface. C’est la raison pour laquelle il y a des résidus trouvés sur la pierre. Ceci n’altère en rien la naturalité ainsi que la qualité du produit. C’est une technique utilisée en bijouterie pour ce type de pierre.,https://camille-ambiance-nature.fr/uploads/certificats/Aigue-Marine-Pierres-Roulees-612cad0e8183b.jpg,Aigue-Marine-Pierres-Roulees-612cad0e8183b.jpg,downloaded,documents/Aigue-Marine-Pierres-Roulees-612cad0e8183b.jpg,42374,64252b032c348c8f9a18d3b861d9f8f7ad248751abd9c956a718a19d0e191c71,image/jpeg
1,Amazonite Brésil 08mm,L’imprégnation de polymères permet de renforcer une pierre poreuse à l’état naturel. Ceci n’altère en rien la qualité du produit.,https://camille-ambiance-nature.fr/uploads/certificats/Amazonite-08mm-690c753ada8ca.png,Amazonite-08mm-690c753ada8ca.png,downloaded,documents/Amazonite-08mm-690c753ada8ca.png,83099,1de2e0cedeaff3b8b77eb89899a5bbc51e6f0654987fead727d0f1269ebff6d9,image/png
1,Amazonite Etats-Unis 06mm,,https://camille-ambiance-nature.fr/uploads/certificats/Amazonite-USA-AAA-06mm-667574af46c44.jpg,Amazonite-USA-AAA-06mm-667574af46c44.jpg,downloaded,documents/Amazonite-USA-AAA-06mm-667574af46c44.jpg,34237,d7d52449ea0b666c1d86417d31cc34e3bd0e57d64ad3e5a11da86a5891a68c9b,image/jpeg
